tren,dia,sentido,horarios
5101,Desconocido,Desconocido,08:47|09:07|09:30|10:00|----|
5003,Desconocido,Desconocido,11:38|11:58|12:21|----|----|
5005,Desconocido,Desconocido,13:27|13:47|14:10|----|----|
5007,Desconocido,Desconocido,15:20|15:40|16:03|----|----|
5009,Desconocido,Desconocido,17:10|17:30|17:53|----|----|
5111,Desconocido,Desconocido,19:02|19:22|19:45|20:15|----|
5102,Desconocido,Desconocido,----|10:13|10:43|11:06|11:26|
5004,Desconocido,Desconocido,----|----|12:31|12:54|13:14|
5006,Desconocido,Desconocido,----|----|14:23|14:46|15:06|
5008,Desconocido,Desconocido,----|----|16:15|16:38|16:58|
5010,Desconocido,Desconocido,----|----|18:10|18:33|18:53|
5112,Desconocido,Desconocido,----|20:24|20:54|21:17|21:37|
"5301 
09:15",Desconocido,Desconocido,09:35||09:58|10:28|10:56
"5203 
13:15",Desconocido,Desconocido,13:35||13:58|----|----
"5305 
15:12",Desconocido,Desconocido,15:32||15:55|16:25|16:53
"5207 
19:02",Desconocido,Desconocido,19:22||19:45|----|----
"5701 
09:20",Desconocido,Desconocido,09:40||10:03|10:33|11:01
"5603 
13:10",Desconocido,Desconocido,13:30||13:53|----|----
"5705 
15:21",Desconocido,Desconocido,15:41||16:04|16:34|17:02
"5607 
19:30",Desconocido,Desconocido,19:50||20:13|----|----
"5301 
09:15",Desconocido,Desconocido,09:35||09:58|10:28|----
"5203 
12:30",Desconocido,Desconocido,12:50||13:13|----|----
"5305 
14:42",Desconocido,Desconocido,15:02||15:25|15:55|----
"5207 
18:12",Desconocido,Desconocido,18:32||18:55|----|----
5302,Desconocido,Desconocido,"----||10:47|11:17 
11:40||12:00"
5204,Desconocido,Desconocido,"----||----|13:47 
14:10||14:30"
5306,Desconocido,Desconocido,"----||16:22|16:52 
17:15||17:35"
5208,Desconocido,Desconocido,"----||----|19:17 
19:40||20:00"
5701,Desconocido,Desconocido,09:20|09:40|10:03|10:33|----|
5603,Desconocido,Desconocido,12:19|12:39|13:02|----|----|
5605,Desconocido,Desconocido,14:23|14:43|15:06|----|----|
5707,Desconocido,Desconocido,16:25|16:45|17:08|17:38|----|
5609,Desconocido,Desconocido,19:28|19:48|20:11|----|----|
5702,Desconocido,Desconocido,"----||10:53|11:23 
11:46||12:06"
5604,Desconocido,Desconocido,"----||----|13:13 
13:36||13:56"
5606,Desconocido,Desconocido,"----||----|15:30 
15:53||16:13"
5708,Desconocido,Desconocido,"----||17:57|18:27 
18:50||19:10"
5610,Desconocido,Desconocido,"----||----|20:34 
20:57||21:17"
